# Set empty fields to NA
Category;Fuel;Segment;Euro Standard;Concept;Pollutant;EF_ug_km
Light Commercial Vehicles;E85;NA;Euro 4;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;E85;NA;Euro 5;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;E85;NA;Euro 6 up to 2016;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;E85;NA;Euro 6 2017-2019;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;E85;NA;Euro 6 2020+;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Conventional;NA;benzo(a)pyrene;0.48
Light Commercial Vehicles;CNG;NA;Euro 1;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 2;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 3;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 4;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 5;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 6 up to 2016;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 6 2017-2019;NA;benzo(a)pyrene;0.32
Light Commercial Vehicles;CNG;NA;Euro 6 2020+;NA;benzo(a)pyrene;0.32
# Diesel; Passenger Cars
Passenger Cars;Diesel;NA;Conventional;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Conventional;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 1;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 1;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 2;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 2;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 3;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 3;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 4;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 4;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 5;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 5;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 6 up to 2016;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 6 up to 2016;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 6 2017-2019;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 6 2017-2019;IDI;benzo(a)pyrene;2.85
Passenger Cars;Diesel;NA;Euro 6 2020+;DI;benzo(a)pyrene;0.63
Passenger Cars;Diesel;NA;Euro 6 2020+;IDI;benzo(a)pyrene;2.85
# Diesel; Light Commercial Vehicles
Light Commercial Vehicles;Diesel;NA;Conventional;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Conventional;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 1;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 1;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 2;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 2;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 3;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 3;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 4;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 4;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 5;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 5;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;IDI;benzo(a)pyrene;2.85
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;DI;benzo(a)pyrene;0.63
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;IDI;benzo(a)pyrene;2.85
# Heavy Duty Trucks
Heavy Duty Trucks;Diesel;NA;Conventional;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro I;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro II;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro III;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro IV;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro V;DI;benzo(a)pyrene;0.90
Heavy Duty Trucks;Diesel;NA;Euro VI;DI;benzo(a)pyrene;0.90
# Buses
Buses;Diesel;NA;Conventional;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro I;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro II;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro III;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro IV;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro V;DI;benzo(a)pyrene;0.90
Buses;Diesel;NA;Euro VI;DI;benzo(a)pyrene;0.90
# L-Category
L-Category;Petrol;NA;Conventional;NA;benzo(a)pyrene;0.48
L-Category;Petrol;NA;Euro 1;NA;benzo(a)pyrene;0.32
L-Category;Petrol;NA;Euro 2;NA;benzo(a)pyrene;0.32
L-Category;Petrol;NA;Euro 3;NA;benzo(a)pyrene;0.32
L-Category;Petrol;NA;Euro 4;NA;benzo(a)pyrene;0.32
L-Category;Petrol;NA;Euro 5;NA;benzo(a)pyrene;0.32
############################################################################
### PCDD
# Petrol; passenger cars
Passenger Cars;Petrol;NA;Conventional;NA;PCDD;10.3e-6
Passenger Cars;Petrol;NA;Euro 1;NA;PCDD;13e-6
Passenger Cars;Petrol;NA;Euro 2;NA;PCDD;13e-6
Passenger Cars;Petrol;NA;Euro 3;NA;PCDD;2.7e-6
Passenger Cars;Petrol;NA;Euro 4;NA;PCDD;2.7e-6
Passenger Cars;Petrol;NA;Euro 5;NA;PCDD;2.7e-6
Passenger Cars;Petrol;NA;Euro 6 up to 2016;NA;PCDD;2.7e-6
Passenger Cars;Petrol;NA;Euro 6 2017-2019;NA;PCDD;2.7e-6
Passenger Cars;Petrol;NA;Euro 6 2020+;NA;PCDD;2.7e-6
# Petrol; Light Commercial Vehicles
Light Commercial Vehicles;Petrol;NA;Conventional;NA;PCDD;10.3e-6
Light Commercial Vehicles;Petrol;NA;Euro 1;NA;PCDD;13e-6
Light Commercial Vehicles;Petrol;NA;Euro 2;NA;PCDD;13e-6
Light Commercial Vehicles;Petrol;NA;Euro 3;NA;PCDD;2.7e-6
Light Commercial Vehicles;Petrol;NA;Euro 4;NA;PCDD;2.7e-6
Light Commercial Vehicles;Petrol;NA;Euro 5;NA;PCDD;2.7e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 up to 2016;NA;PCDD;2.7e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 2017-2019;NA;PCDD;2.7e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 2020+;NA;PCDD;2.7e-6
# Diesel; Passenger Cars
Passenger Cars;Diesel;NA;Conventional;DI;PCDD;0.5e-6
Passenger Cars;Diesel;NA;Conventional;IDI;PCDD;0.5e-6
Passenger Cars;Diesel;NA;Euro 1;DI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 1;IDI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 2;DI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 2;IDI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 3;DI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 3;IDI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 4;DI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 4;IDI;PCDD;24.5e-6
Passenger Cars;Diesel;NA;Euro 5;DI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 5;IDI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 up to 2016;DI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 up to 2016;IDI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 2017-2019;DI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 2017-2019;IDI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 2020+;DI;PCDD;0.3e-6
Passenger Cars;Diesel;NA;Euro 6 2020+;IDI;PCDD;0.3e-6
# Diesel; Light Commercial Vehicles
Light Commercial Vehicles;Diesel;NA;Conventional;DI;PCDD;0.5e-6
Light Commercial Vehicles;Diesel;NA;Conventional;IDI;PCDD;0.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 1;DI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 1;IDI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 2;DI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 2;IDI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 3;DI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 3;IDI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 4;DI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 4;IDI;PCDD;24.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 5;DI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 5;IDI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;DI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;IDI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;DI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;IDI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;DI;PCDD;0.3e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;IDI;PCDD;0.3e-6
# Heavy Duty Trucks
Heavy Duty Trucks;Diesel;NA;Conventional;DI;PCDD;25e-6
Heavy Duty Trucks;Diesel;NA;Euro I;DI;PCDD;25e-6
Heavy Duty Trucks;Diesel;NA;Euro II;DI;PCDD;25e-6
Heavy Duty Trucks;Diesel;NA;Euro III;DI;PCDD;25e-6
Heavy Duty Trucks;Diesel;NA;Euro IV;DI;PCDD;25e-6
Heavy Duty Trucks;Diesel;NA;Euro V;DI;PCDD;0.31e-6
Heavy Duty Trucks;Diesel;NA;Euro VI;DI;PCDD;0.16e-6
# Buses
Buses;Diesel;NA;Conventional;DI;PCDD;25e-6
Buses;Diesel;NA;Euro I;DI;PCDD;25e-6
Buses;Diesel;NA;Euro II;DI;PCDD;25e-6
Buses;Diesel;NA;Euro III;DI;PCDD;25e-6
Buses;Diesel;NA;Euro IV;DI;PCDD;25e-6
Buses;Diesel;NA;Euro V;DI;PCDD;0.31e-6
Buses;Diesel;NA;Euro VI;DI;PCDD;0.16e-6
# L-Category
L-Category;Petrol;NA;Conventional;NA;PCDD;10.3e-6
L-Category;Petrol;NA;Euro 1;NA;PCDD;13e-6
L-Category;Petrol;NA;Euro 2;NA;PCDD;13e-6
L-Category;Petrol;NA;Euro 3;NA;PCDD;2.7e-6
L-Category;Petrol;NA;Euro 4;NA;PCDD;2.7e-6
L-Category;Petrol;NA;Euro 5;NA;PCDD;2.7e-6
############################################################################
### PCDF
# Petrol; passenger cars
Passenger Cars;Petrol;NA;Conventional;NA;PCDF;21.2e-6
Passenger Cars;Petrol;NA;Euro 1;NA;PCDF;19e-6
Passenger Cars;Petrol;NA;Euro 2;NA;PCDF;19e-6
Passenger Cars;Petrol;NA;Euro 3;NA;PCDF;4.1e-6
Passenger Cars;Petrol;NA;Euro 4;NA;PCDF;4.1e-6
Passenger Cars;Petrol;NA;Euro 5;NA;PCDF;4.1e-6
Passenger Cars;Petrol;NA;Euro 6 up to 2016;NA;PCDF;4.1e-6
Passenger Cars;Petrol;NA;Euro 6 2017-2019;NA;PCDF;4.1e-6
Passenger Cars;Petrol;NA;Euro 6 2020+;NA;PCDF;4.1e-6
# Petrol; Light Commercial Vehicles
Light Commercial Vehicles;Petrol;NA;Conventional;NA;PCDF;21.2e-6
Light Commercial Vehicles;Petrol;NA;Euro 1;NA;PCDF;19e-6
Light Commercial Vehicles;Petrol;NA;Euro 2;NA;PCDF;19e-6
Light Commercial Vehicles;Petrol;NA;Euro 3;NA;PCDF;4.1e-6
Light Commercial Vehicles;Petrol;NA;Euro 4;NA;PCDF;4.1e-6
Light Commercial Vehicles;Petrol;NA;Euro 5;NA;PCDF;4.1e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 up to 2016;NA;PCDF;4.1e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 2017-2019;NA;PCDF;4.1e-6
Light Commercial Vehicles;Petrol;NA;Euro 6 2020+;NA;PCDF;4.1e-6
# Diesel; Passenger Cars
Passenger Cars;Diesel;NA;Conventional;DI;PCDF;1.0e-6
Passenger Cars;Diesel;NA;Conventional;IDI;PCDF;1.0e-6
Passenger Cars;Diesel;NA;Euro 1;DI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 1;IDI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 2;DI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 2;IDI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 3;DI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 3;IDI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 4;DI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 4;IDI;PCDF;36.5e-6
Passenger Cars;Diesel;NA;Euro 5;DI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 5;IDI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 up to 2016;DI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 up to 2016;IDI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 2017-2019;DI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 2017-2019;IDI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 2020+;DI;PCDF;0.44e-6
Passenger Cars;Diesel;NA;Euro 6 2020+;IDI;PCDF;0.44e-6
# Diesel; Light Commercial Vehicles
Light Commercial Vehicles;Diesel;NA;Conventional;DI;PCDF;1.0e-6
Light Commercial Vehicles;Diesel;NA;Conventional;IDI;PCDF;1.0e-6
Light Commercial Vehicles;Diesel;NA;Euro 1;DI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 1;IDI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 2;DI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 2;IDI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 3;DI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 3;IDI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 4;DI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 4;IDI;PCDF;36.5e-6
Light Commercial Vehicles;Diesel;NA;Euro 5;DI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 5;IDI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;DI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;IDI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;DI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;IDI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;DI;PCDF;0.44e-6
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;IDI;PCDF;0.44e-6
# Heavy Duty Trucks
Heavy Duty Trucks;Diesel;NA;Conventional;DI;PCDF;38e-6
Heavy Duty Trucks;Diesel;NA;Euro I;DI;PCDF;38e-6
Heavy Duty Trucks;Diesel;NA;Euro II;DI;PCDF;38e-6
Heavy Duty Trucks;Diesel;NA;Euro III;DI;PCDF;38e-6
Heavy Duty Trucks;Diesel;NA;Euro IV;DI;PCDF;38e-6
Heavy Duty Trucks;Diesel;NA;Euro V;DI;PCDF;0.45e-6
Heavy Duty Trucks;Diesel;NA;Euro VI;DI;PCDF;0.24e-6
# Buses
Buses;Diesel;NA;Conventional;DI;PCDF;38e-6
Buses;Diesel;NA;Euro I;DI;PCDF;38e-6
Buses;Diesel;NA;Euro II;DI;PCDF;38e-6
Buses;Diesel;NA;Euro III;DI;PCDF;38e-6
Buses;Diesel;NA;Euro IV;DI;PCDF;38e-6
Buses;Diesel;NA;Euro V;DI;PCDF;0.45e-6
Buses;Diesel;NA;Euro VI;DI;PCDF;0.24e-6
# L-Category
L-Category;Petrol;NA;Conventional;NA;PCDF;21.2e-6
L-Category;Petrol;NA;Euro 1;NA;PCDF;19e-6
L-Category;Petrol;NA;Euro 2;NA;PCDF;19e-6
L-Category;Petrol;NA;Euro 3;NA;PCDF;4.1e-6
L-Category;Petrol;NA;Euro 4;NA;PCDF;4.1e-6
L-Category;Petrol;NA;Euro 5;NA;PCDF;4.1e-6
############################################################################
###  Brakes
# Petrol; L-Category
L-Category;Petrol;NA;Conventional;NA;PM Brakes;3.63e3
L-Category;Petrol;NA;Euro 1;NA;PM Brakes;3.63e3
L-Category;Petrol;NA;Euro 2;NA;PM Brakes;3.63e3
L-Category;Petrol;NA;Euro 3;NA;PM Brakes;3.63e3
L-Category;Petrol;NA;Euro 4;NA;PM Brakes;3.63e3
L-Category;Petrol;NA;Euro 5;NA;PM Brakes;3.63e3
# Petrol; passenger cars
Passenger Cars;Petrol;NA;Conventional;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 1;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 2;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 3;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 4;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 5;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 6 up to 2016;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 6 2017-2019;NA;PM Brakes;7.35e3
Passenger Cars;Petrol;NA;Euro 6 2020+;NA;PM Brakes;7.35e3
# Petrol; Light Commercial Vehicles
Light Commercial Vehicles;Petrol;NA;Conventional;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 1;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 2;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 3;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 4;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 5;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 6 up to 2016;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 6 2017-2019;NA;PM Brakes;11.47e3
Light Commercial Vehicles;Petrol;NA;Euro 6 2020+;NA;PM Brakes;11.47e3
# Diesel; L-Category
L-Category;Diesel;NA;Conventional;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Conventional;IDI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 2;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 2;IDI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 1;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 1;IDI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 3;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 3;IDI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 4;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 4;IDI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 5;DI;PM Brakes;3.63e3
L-Category;Diesel;NA;Euro 5;IDI;PM Brakes;3.63e3
# Diesel; Passenger Cars
Passenger Cars;Diesel;NA;Conventional;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Conventional;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 1;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 1;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 2;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 2;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 3;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 3;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 4;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 4;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 5;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 5;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 up to 2016;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 up to 2016;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 2017-2019;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 2017-2019;IDI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 2020+;DI;PM Brakes;7.35e3
Passenger Cars;Diesel;NA;Euro 6 2020+;IDI;PM Brakes;7.35e3
# Diesel; Light Commercial Vehicles
Light Commercial Vehicles;Diesel;NA;Conventional;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Conventional;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 1;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 1;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 2;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 2;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 3;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 3;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 4;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 4;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 5;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 5;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 up to 2016;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 2017-2019;IDI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;DI;PM Brakes;11.47e3
Light Commercial Vehicles;Diesel;NA;Euro 6 2020+;IDI;PM Brakes;11.47e3
# Heavy Duty Trucks
Heavy Duty Trucks;Diesel;NA;Conventional;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro I;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro II;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro III;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro IV;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro V;DI;PM Brakes;32.09e3
Heavy Duty Trucks;Diesel;NA;Euro VI;DI;PM Brakes;32.09e3
# Buses
Buses;Diesel;NA;Conventional;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro I;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro II;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro III;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro IV;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro V;DI;PM Brakes;32.09e3
Buses;Diesel;NA;Euro VI;DI;PM Brakes;32.09e3
############################################################################
### PM Road paved
# Petrol; L-Category
L-Category;Petrol;NA;Conventional;NA;PM Road paved;3.0e3
L-Category;Petrol;NA;Euro 1;NA;PM Road paved;3.0e3
L-Category;Petrol;NA;Euro 2;NA;PM Road paved;3.0e3
L-Category;Petrol;NA;Euro 3;NA;PM Road paved;3.0e3
L-Category;Petrol;NA;Euro 4;NA;PM Road paved;3.0e3
L-Category;Petrol;NA;Euro 5;NA;PM Road paved;3.0e3
# Petrol; passenger cars
Passenger Cars;Petrol;NA;Conventional;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 1;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 2;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 3;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 4;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 5;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 6 up to 2016;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 6 2017-2019;NA;PM Road paved;7.5e3
Passenger Cars;Petrol;NA;Euro 6 2020+;NA;PM Road paved;7.5e3
# Petrol; Light Commercial Vehicles
Light Commercial Vehicles;Petrol;NA;Conventional;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 1;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 2;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 3;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 4;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 5;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 6 up to 2016;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 6 2017-2019;NA;PM Road paved;7.5e3
Light Commercial Vehicles;Petrol;NA;Euro 6 2020+;NA;PM Road paved;7.5e3
# Diesel; L-Category
L-Category;Diesel;NA;Conventional;DI;PM Road paved;3.0e3
L-Category;Diesel;NA;Conventional;IDI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 2;DI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 2;IDI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 1;DI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 1;IDI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 3;DI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 3;IDI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 4;DI;PM Road paved;3.0e3
L-Category;Diesel;NA;Euro 4;IDI;PM Road paved;3.0e3
